x,y,z,score,score_d
35800,0,0,96,7816910
35900,0,0,96,7808750
36000,0,0,96,7800600
36100,0,0,97,7873620
36200,0,0,98,7946470
36300,0,0,98,7938160
36400,0,0,98,7929850
36500,0,0,99,8002380
36600,0,0,99,7993990
36700,0,0,99,7985600
36800,0,0,99,7977220
36900,0,0,99,7968850
37000,0,0,99,7960470
37100,0,0,99,7952100
37200,0,0,99,7943730
37300,0,0,99,7935370
37400,0,0,99,7927010
37500,0,0,99,7918660
37600,0,0,99,7910300
37700,0,0,100,7981770
37800,0,0,101,8053070
37900,0,0,101,8044560
38000,0,0,101,8036060
38100,0,0,101,8027550
38200,0,0,102,8098450
38300,0,0,102,8089870
38400,0,0,102,8081300
38500,0,0,102,8072720
38600,0,0,102,8064150
38700,0,0,102,8055590
38800,0,0,102,8047030
38900,0,0,102,8038470
39000,0,0,102,8029920
39100,0,0,102,8021370
39200,0,0,103,8091380
39300,0,0,103,8082760
39400,0,0,103,8074130
39500,0,0,104,8143820
39600,0,0,104,8135130
39700,0,0,104,8126430
39800,0,0,104,8117740
39900,0,0,104,8109060
40000,0,0,104,8100380
40100,0,0,104,8091700
40200,0,0,104,8083030
40300,0,0,104,8074360
40400,0,0,104,8065690
40500,0,0,104,8057030
40600,0,0,105,8125760
40700,0,0,105,8117030
40800,0,0,105,8108300
40900,0,0,105,8099570
41000,0,0,105,8090850
41100,0,0,105,8082130
41200,0,0,106,8150300
41300,0,0,106,8141510
41400,0,0,106,8132720
41500,0,0,107,8200580
41600,0,0,107,8191710
41700,0,0,109,8335800
41800,0,0,109,8326780
41900,0,0,109,8317770
42000,0,0,109,8308760
42100,0,0,109,8299750
42200,0,0,109,8290750
42300,0,0,109,8281750
42400,0,0,109,8272760
42500,0,0,109,8263770
42600,0,0,110,8330520
42700,0,0,110,8321460
42800,0,0,110,8312400
42900,0,0,110,8303350
43000,0,0,110,8294300
43100,0,0,110,8285260
43200,0,0,110,8276220
43300,0,0,110,8267190
43400,0,0,111,8333240
43500,0,0,111,8324130
43600,0,0,111,8315030
43700,0,0,111,8305940
43800,0,0,111,8296850
43900,0,0,111,8287760
44000,0,0,111,8278680
44100,0,0,111,8269600
44200,0,0,111,8260530
44300,0,0,111,8251460
44400,0,0,111,8242400
44500,0,0,111,8233350
44600,0,0,111,8224300
44700,0,0,111,8215250
44800,0,0,111,8206210
44900,0,0,111,8197170
45000,0,0,111,8188140
45100,0,0,111,8179120
45200,0,0,111,8170100
45300,0,0,111,8161080
45400,0,0,111,8152070
45500,0,0,112,8216420
45600,0,0,113,8280620
45700,0,0,113,8271470
45800,0,0,113,8262310
45900,0,0,113,8253170
46000,0,0,113,8244030
46100,0,0,113,8234890
46200,0,0,113,8225760
46300,0,0,114,8289350
46400,0,0,114,8280150
46500,0,0,115,8343510
46600,0,0,115,8334240
46700,0,0,115,8324970
46800,0,0,115,8315710
46900,0,0,115,8306460
47000,0,0,115,8297210
47100,0,0,116,8360040
47200,0,0,116,8350720
47300,0,0,116,8341410
47400,0,0,117,8403940
47500,0,0,118,8466310
47600,0,0,119,8528520
47700,0,0,119,8518990
47800,0,0,120,8580980
47900,0,0,120,8571380
48000,0,0,121,8633140
48100,0,0,121,8623480
48200,0,0,121,8613820
48300,0,0,122,8675280
48400,0,0,123,8736580
48500,0,0,123,8726780
48600,0,0,123,8716990
48700,0,0,123,8707210
48800,0,0,123,8697430
48900,0,0,123,8687660
49000,0,0,123,8677890
49100,0,0,123,8668130
49200,0,0,123,8658380
49300,0,0,123,8648630
49400,0,0,124,8709120
49500,0,0,125,8769470
49600,0,0,125,8759580
49700,0,0,125,8749700
49800,0,0,125,8739830
49900,0,0,126,8799810
50000,0,0,126,8789870
50100,0,0,127,8849620
50200,0,0,127,8839620
50300,0,0,127,8829620
50400,0,0,127,8819630
50500,0,0,127,8809650
50600,0,0,127,8799680
50700,0,0,127,8789710
50800,0,0,127,8779750
50900,0,0,127,8769800
51000,0,0,127,8759850
51100,0,0,127,8749910
51200,0,0,127,8739980
51300,0,0,127,8730050
51400,0,0,127,8720140
51500,0,0,127,8710230
51600,0,0,129,8837340
51700,0,0,129,8827280
51800,0,0,129,8817240
51900,0,0,129,8807200
52000,0,0,130,8865370
52100,0,0,130,8855270
52200,0,0,130,8845180
52300,0,0,130,8835090
52400,0,0,130,8825020
52500,0,0,130,8814950
52600,0,0,131,8872610
52700,0,0,131,8862480
52800,0,0,131,8852360
52900,0,0,131,8842240
53000,0,0,131,8832140
53100,0,0,131,8822040
53200,0,0,132,8879210
53300,0,0,132,8869050
53400,0,0,132,8858900
53500,0,0,132,8848750
