x,y,z,score,score_d
36600,0,0,381,30764700
36700,0,0,381,30732500
36800,0,0,381,30700200
36900,0,0,381,30668000
37000,0,0,381,30635800
37100,0,0,381,30603500
37200,0,0,381,30571300
37300,0,0,381,30539200
37400,0,0,381,30507000
37500,0,0,381,30474800
37600,0,0,381,30442700
37700,0,0,381,30410500
37800,0,0,380,30298700
37900,0,0,379,30187000
38000,0,0,379,30155100
38100,0,0,379,30123200
38200,0,0,379,30091300
38300,0,0,378,29980100
38400,0,0,378,29948300
38500,0,0,378,29916600
38600,0,0,378,29884800
38700,0,0,378,29853100
38800,0,0,378,29821300
38900,0,0,378,29789600
39000,0,0,378,29757900
39100,0,0,378,29726300
39200,0,0,378,29694600
39300,0,0,377,29584500
39400,0,0,377,29552900
39500,0,0,377,29521400
39600,0,0,376,29411600
39700,0,0,376,29380200
39800,0,0,376,29348800
39900,0,0,376,29317400
40000,0,0,376,29286000
40100,0,0,376,29254600
40200,0,0,376,29223200
40300,0,0,376,29191900
40400,0,0,376,29160600
40500,0,0,376,29129300
40600,0,0,376,29098000
40700,0,0,375,28989400
40800,0,0,375,28958200
40900,0,0,375,28927000
41000,0,0,375,28895900
41100,0,0,375,28864700
41200,0,0,375,28833600
41300,0,0,374,28725700
41400,0,0,374,28694700
41500,0,0,374,28663700
41600,0,0,373,28556200
41700,0,0,373,28525300
41800,0,0,371,28341600
41900,0,0,371,28310900
42000,0,0,371,28280300
42100,0,0,371,28249600
42200,0,0,371,28219000
42300,0,0,371,28188400
42400,0,0,371,28157700
42500,0,0,371,28127200
42600,0,0,371,28096600
42700,0,0,370,27990400
42800,0,0,370,27959900
42900,0,0,370,27929500
43000,0,0,370,27899000
43100,0,0,370,27868600
43200,0,0,370,27838200
43300,0,0,370,27807800
43400,0,0,370,27777500
43500,0,0,369,27672100
43600,0,0,369,27641900
43700,0,0,369,27611600
43800,0,0,369,27581400
43900,0,0,369,27551200
44000,0,0,369,27521000
44100,0,0,369,27490800
44200,0,0,369,27460700
44300,0,0,369,27430500
44400,0,0,369,27400400
44500,0,0,369,27370300
44600,0,0,369,27340200
44700,0,0,369,27310200
44800,0,0,369,27280100
44900,0,0,369,27250100
45000,0,0,369,27220000
45100,0,0,369,27190000
45200,0,0,369,27160000
45300,0,0,369,27130100
45400,0,0,369,27100100
45500,0,0,369,27070200
45600,0,0,368,26967000
45700,0,0,367,26864000
45800,0,0,367,26834200
45900,0,0,367,26804500
46000,0,0,367,26774800
46100,0,0,367,26745200
46200,0,0,367,26715500
46300,0,0,367,26685900
46400,0,0,366,26583600
46500,0,0,366,26554100
46600,0,0,365,26452100
46700,0,0,365,26422700
46800,0,0,365,26393400
46900,0,0,365,26364000
47000,0,0,365,26334600
47100,0,0,365,26305300
47200,0,0,364,26204000
47300,0,0,364,26174800
47400,0,0,364,26145600
47500,0,0,363,26044700
47600,0,0,362,25943900
47700,0,0,361,25843300
47800,0,0,361,25814400
47900,0,0,360,25714200
48000,0,0,360,25685400
48100,0,0,359,25585400
48200,0,0,359,25556700
48300,0,0,359,25528100
48400,0,0,358,25428400
48500,0,0,357,25329000
48600,0,0,357,25300500
48700,0,0,357,25272100
48800,0,0,357,25243800
48900,0,0,357,25215400
49000,0,0,357,25187000
49100,0,0,357,25158700
49200,0,0,357,25130400
49300,0,0,357,25102100
49400,0,0,357,25073800
49500,0,0,356,24975400
49600,0,0,355,24877200
49700,0,0,355,24849200
49800,0,0,355,24821100
49900,0,0,355,24793100
50000,0,0,354,24695300
50100,0,0,354,24667400
50200,0,0,353,24570000
50300,0,0,353,24542200
50400,0,0,353,24514400
50500,0,0,353,24486700
50600,0,0,353,24458900
50700,0,0,353,24431200
50800,0,0,353,24403600
50900,0,0,353,24375900
51000,0,0,353,24348200
51100,0,0,353,24320600
51200,0,0,353,24293000
51300,0,0,353,24265400
51400,0,0,353,24237900
51500,0,0,353,24210300
51600,0,0,353,24182800
51700,0,0,351,24018400
51800,0,0,351,23991100
51900,0,0,351,23963800
52000,0,0,351,23936500
52100,0,0,350,23841100
52200,0,0,350,23813900
52300,0,0,350,23786800
52400,0,0,350,23759700
52500,0,0,350,23732500
52600,0,0,350,23705500
52700,0,0,349,23610700
52800,0,0,349,23583800
52900,0,0,349,23556800
53000,0,0,349,23529900
53100,0,0,349,23503000
53200,0,0,349,23476100
53300,0,0,348,23382000
53400,0,0,348,23355300
53500,0,0,348,23328500
53600,0,0,348,23301800
53700,0,0,348,23275100
53800,0,0,348,23248400
53900,0,0,348,23221800
54000,0,0,347,23128500
54100,0,0,347,23101900
54200,0,0,346,23008900
54300,0,0,346,22982500
54400,0,0,346,22956100
54500,0,0,346,22929700
54600,0,0,346,22903400
54700,0,0,346,22877000
54800,0,0,346,22850700
54900,0,0,346,22824400
55000,0,0,346,22798200
55100,0,0,346,22771900
55200,0,0,346,22745700
55300,0,0,346,22719500
55400,0,0,346,22693300
55500,0,0,346,22667200
55600,0,0,346,22641000
55700,0,0,346,22614900
55800,0,0,346,22588800
55900,0,0,346,22562800
56000,0,0,346,22536700
56100,0,0,346,22510700
56200,0,0,346,22484700
56300,0,0,346,22458800
56400,0,0,346,22432800
56500,0,0,346,22406900
56600,0,0,345,22316300
56700,0,0,345,22290500
56800,0,0,345,22264700
56900,0,0,344,22174500
57000,0,0,344,22148800
57100,0,0,344,22123200
57200,0,0,344,22097600
57300,0,0,344,22072000
57400,0,0,344,22046400
57500,0,0,344,22020900
57600,0,0,344,21995400
57700,0,0,344,21969900
57800,0,0,344,21944400
57900,0,0,344,21919000
58000,0,0,344,21893600
58100,0,0,344,21868200
58200,0,0,344,21842800
58300,0,0,344,21817500
58400,0,0,344,21792200
58500,0,0,344,21766900
58600,0,0,344,21741600
58700,0,0,344,21716400
58800,0,0,343,21628100
58900,0,0,342,21540000
59000,0,0,342,21515000
59100,0,0,342,21490000
59200,0,0,342,21465000
59300,0,0,342,21440100
59400,0,0,342,21415100
59500,0,0,342,21390300
59600,0,0,342,21365400
59700,0,0,342,21340500
59800,0,0,341,21253400
59900,0,0,341,21228700
60000,0,0,340,21141800
60100,0,0,339,21055100
60200,0,0,339,21030600
60300,0,0,339,21006200
60400,0,0,339,20981700
60500,0,0,339,20957300
60600,0,0,339,20932900
60700,0,0,339,20908500
60800,0,0,339,20884200
60900,0,0,339,20859900
61000,0,0,338,20774200
61100,0,0,338,20750000
61200,0,0,338,20725800
61300,0,0,338,20701700
61400,0,0,337,20616400
61500,0,0,337,20592400
61600,0,0,337,20568400
61700,0,0,336,20483500
61800,0,0,336,20459700
61900,0,0,335,20375000
62000,0,0,335,20351300
62100,0,0,333,20206200
62200,0,0,333,20182700
62300,0,0,333,20159200
62400,0,0,333,20135700
62500,0,0,333,20112300
62600,0,0,333,20088900
62700,0,0,332,20005200
62800,0,0,332,19981900
62900,0,0,332,19958700
63000,0,0,331,19875400
63100,0,0,331,19852200
63200,0,0,331,19829100
63300,0,0,331,19806000
63400,0,0,331,19783000
63500,0,0,331,19760000
63600,0,0,331,19737000
63700,0,0,331,19714000
63800,0,0,331,19691100
63900,0,0,331,19668200
64000,0,0,331,19645300
64100,0,0,331,19622400
64200,0,0,331,19599600
64300,0,0,331,19576800
64400,0,0,331,19554100
64500,0,0,330,19472300
64600,0,0,330,19449700
64700,0,0,330,19427100
64800,0,0,330,19404500
64900,0,0,330,19382000
65000,0,0,330,19359400
65100,0,0,330,19336900
65200,0,0,330,19314500
65300,0,0,330,19292100
65400,0,0,330,19269700
65500,0,0,330,19247300
65600,0,0,330,19225000
65700,0,0,330,19202700
65800,0,0,330,19180400
65900,0,0,330,19158200
66000,0,0,330,19136000
66100,0,0,330,19113800
66200,0,0,328,18975900
66300,0,0,328,18953900
66400,0,0,328,18932000
66500,0,0,327,18852400
66600,0,0,327,18830600
66700,0,0,327,18808800
66800,0,0,327,18787000
66900,0,0,327,18765300
67000,0,0,327,18743600
67100,0,0,327,18722000
67200,0,0,326,18643100
67300,0,0,326,18621600
67400,0,0,326,18600100
67500,0,0,325,18521700
67600,0,0,324,18443400
67700,0,0,324,18422100
67800,0,0,324,18400900
67900,0,0,324,18379600
68000,0,0,324,18358500
68100,0,0,324,18337300
68200,0,0,324,18316200
68300,0,0,324,18295200
68400,0,0,324,18274100
68500,0,0,324,18253100
68600,0,0,324,18232100
68700,0,0,324,18211200
68800,0,0,324,18190300
68900,0,0,324,18169400
69000,0,0,323,18092500
69100,0,0,323,18071800
