SN:,x,y,z,z_dummy,score,score_d
SN:,77900,0,0,1356.64,261.954,1.35664e+07
SN:,78100,0,0,1350.81,261.821,1.35081e+07
SN:,78200,0,0,1350.4,262.251,1.3504e+07
SN:,78300,0,0,1349.96,262.678,1.34996e+07
SN:,78400,0,0,1344.38,262.103,1.34438e+07
SN:,78500,0,0,1343.92,262.529,1.34392e+07
SN:,78600,0,0,1348.56,263.952,1.34856e+07
SN:,78700,0,0,1353.15,265.372,1.35315e+07
SN:,78800,0,0,1357.7,266.791,1.3577e+07
SN:,78900,0,0,1362.23,268.209,1.36223e+07
SN:,79100,0,0,1366.27,270.039,1.36627e+07
SN:,79200,0,0,1365.66,270.456,1.36566e+07
SN:,79300,0,0,1365.03,270.871,1.36503e+07
SN:,79400,0,0,1354.31,269.283,1.35431e+07
SN:,79500,0,0,1353.66,269.692,1.35366e+07
SN:,79600,0,0,1352.98,270.1,1.35298e+07
SN:,79700,0,0,1362.29,272.504,1.36229e+07
SN:,79800,0,0,1361.55,272.907,1.36155e+07
SN:,79900,0,0,1365.79,274.309,1.36579e+07
SN:,80100,0,0,1364.8,274.107,1.3648e+07
SN:,80200,0,0,1339.74,268.528,1.33974e+07
SN:,80300,0,0,1354.54,270.947,1.35454e+07
SN:,80400,0,0,1364.38,272.363,1.36438e+07
SN:,80500,0,0,1364.19,271.777,1.36419e+07
SN:,80600,0,0,1374.04,273.188,1.37404e+07
SN:,80700,0,0,1368.8,271.6,1.3688e+07
SN:,80800,0,0,1373.62,272.01,1.37362e+07
SN:,80900,0,0,1378.45,272.42,1.37845e+07
SN:,80050.3,86.4322,0,0,0,0
SN:,80100.5,172.864,0,0,0,0
SN:,80150.8,259.297,0,0,0,0
SN:,80201,345.729,0,0,0,0
SN:,80251.3,432.161,0,0,0,0
SN:,80301.5,518.593,0,0,0,0
SN:,80351.8,605.025,0,0,0,0
SN:,80402,691.458,0,0,0,0
SN:,80452.3,777.89,0,0,0,0
SN:,80502.5,864.322,0,0,0,0
SN:,80552.8,950.754,0,0,0,0
SN:,80603,1037.19,0,0,0,0
